rank,argument,topic
1.0,"Sorry for the length of the post, but I hope it helps you understand why I oppose capital punishment.",dp
1.0,I am all for the death penalty.,dp
1.0,I am pro death penalty.,dp
1.0,"I can't believe that you just said ""So what if Jesus said....?""",dp
0.9990000000000001,So what does he have to do with a debate like this about murderers and the death penalty?,dp
0.9905,i am against the death penalty for moral reasons.,dp
0.9752,The main reasons I oppose the death penalty are: #1) It is permanent.,dp
0.9726,"If it was your wife/daughter/mom etc. that was murdered and/or raped you would probably think different Sure, I would want whoever did it to be sentenced to death.",dp
0.9716666667,"So I'm completely up front about it, I am adamently opposed to the death penalty period.",dp
0.971,"If we continue to allow the death penalty, we are no better than the murderers and rapists that we punish with the death penalty.",dp
0.97,But I am not for the death penalty.,dp
0.9690000000000001,"Thistown~ I seem to be missing the time when ""Jesus Christ told us point blank that capitol punishment was downright evil.""",dp
0.9690000000000001,In Matthew 12 the pharisees caught the disciples of Jesus breaking the Sabbath Day.,dp
0.9682,"If a dog bit a human, they would be put down, so why no do the same to a human?",dp
0.9670000000000001,So your argument is that if the death penalty was cheaper than life in prison it would have the advantage of being cheaper than life in prison.,dp
0.9634,"First, because the real facts about Death Penalty show it -from every single point of view-, as an ineffective, dangerous and extremely expensive method of punishment.",dp
0.96,So what about murderers?,dp
0.9576,"If you are going to make murder illegal, your government would be most hypocritical to allow the death penalty.",dp
0.953,"All~ For the time being, I've moved the Old Testament Law debate to a newly created thread, since this has become a thread about the Old Testament Laws in general, and not the death penalty in particular: http://www.youdebate.com/vBulletin/s...=1519#post1519 Others who wish to remain and debate the death penalty here are of course welcome to do so.",dp
0.9526,"By killing a person who murdered someone, you are just doing the same thing you are punishing him/her for.",dp
0.95,"If so, would you let someone that broke into your house kill your relatives in front of you?",dp
0.9468,Oh and the death penalty does not deter crime.,dp
0.946,"If you are going to argue for or against the death penalty, at least try to be a credit to the argument and present something that makes sense.",dp
0.9446,But I can't get past the fact that they'll be killed for killing someone else - it's hypocritical.,dp
0.9436666667,"If you judge someone to die because of your moral standards, how does that make you better than them?",dp
0.9434,An argument for putting people to death is so that they can never escape and kill again.,dp
0.94275,"Sometimes, the only way to deal with certain criminals is to end their life, simply because they don't deserve to live.",dp
0.9390000000000001,the dealth penalty does nothing to help society!,dp
0.9359999999999999,"Calli, much of the old testament law was put asunder when Christ died on the cross.",dp
0.9359999999999999,The death penalty is arbitrary.,dp
0.9354,"First, we must choose to use executions because they may save innocent life.",dp
0.935,But as per usual you have just demonstrated that you are filled with hate for another (perhaps more deserving) segment of humanity.,dp
0.9338,"Some innocent people are still sentenced to death, and that's where I see a problem.",dp
0.9329999999999999,Jesus was against the death penalty.,dp
0.9324,I'm against captial punishment for the reasons that wjim1269 gave and also I think that just because someone murders someone it doesn't mean they should automatically forfeit their own life.,dp
0.9315,"Someone who has severed someone else's ear isn't ""obviously innocent"".",dp
0.93125,If it was your wife/daughter/mom etc. that was murdered and/or raped you would probably think different And if it were you who was wrongfully convicted you might think differently as well.,dp
0.9282,what you are saying is that we should murder people because the prisons are overcrowded.,dp
0.927,"Capitol punishment is not just the execution of murderers, but the execution of anyone by the state.",dp
0.9268,The death penalty is hypocritical.,dp
0.9259999999999999,Every execution discourages 15 murders.,dp
0.9255,"If inmates in for life actually got life in 100% of the cases, I'd be more inclined to support a ban on capital punishment.",dp
0.9252,So why not just give them a life sentence rather than kill them?,dp
0.924,First Dispute: Trials You say a lot of people have been executed when they are innocent.,dp
0.9603333333,The death penalty was established so families would not fued for generations.,dp
0.9209999999999999,"If that is the case (and I am unsure to say the least) then surely the answer is (to your scenario) that they can either: a) be tried in the US but any penalty i.e. capital punihsment, that wouldn't be applied in their own nation can't be appplied post verdict or b) they can be tried in their own country but the country where the crime is committed is able to take part in the process of examination and jurisdiction.",dp
0.9206,"If it could be said for certain that a murderer, rapist, or a pedophile would get life without the possibility of parole then I might be more for that........The problem is that sentence has been given to murderers in the past and some liberal judge down the road has seen fit to release the perpetrator and allowed him to go out and murder and rape again.......... That is why I say execute them and you will not face the possibility of that happening.........",dp
0.919,But even one unjustified execution is a hundred too many.,dp
0.9176,JESUS HATED CAPITOL PUNISHMENT.,dp
0.9162,"So, the only reason I can really see why people support the death penalty is to have simple vengeance against the perpretrator.",dp
0.9156,"If as a nation, we argue that life is sacred and that it must be treated with respect, then that applies to all categories of people regardless of their actions.",dp
0.91525,"if we look at statistic, crime is increasing nowadays.",dp
0.9152,"Firstly, life in prison is a worse punishment.Death penalty it is the simplest punishment for the person who e.g. killed, raped, committed act of terrorism and etc.",dp
0.915,The death penalty is Biblically justifiable.,dp
0.9146,"If we kill a few innocent lifes in the process, thats fine by me as long as the rightfuly convicted felons are killed VIA leathal injection and/or electric chair.",dp
0.9390000000000001,"if someone chopped off your best friends head right in front of you, would they be deserving of the death penalty?",dp
0.9115,Show them God's love and mercy.,dp
0.9114,"But you have to wonder, how can there be no shred of supporting evidence after thousands of years of use, if it IS a actual deterrent?",dp
0.9112,If one person was excecuted when he was innocent than thats hundreds too many.,dp
0.9109999999999999,In my opinion the death penalty is the very wrong way to work against criminal activity like murdering!,dp
0.9098,If we are sure they raped & killed those innocent children then we should let them die.,dp
0.9083333333,But are there any stats available showing countries/states with the death penalty have a higher/lower crime rate?,dp
0.9076,these debates get so freakin repetitive JESUS MADE IT VERY VERY CLEAR THAT THE DEATH PENALTY IS WRONG.,dp
0.94275,"But think of this: should we keep the killers in jail for 100 year sentences with the possiblility of them escaping, or our jails overflowing, or should we just go with the 100 percent surefire way of keeping them off the streets just by the electric chair or lethal injecion.",dp
0.9058,If you rape a child then you deserve more than anybody to be put down and eliminated forever.,dp
0.903,"First of all, a dead man fears nothing.",dp
0.9026,If you rape a kid then you shouldn't be allowed to live.,dp
0.9022,"jdover, wjim, I think the death penalty should only be used when there is undeniable proof against the suspect.",dp
0.9018,"So phantom these offences vary greatly in severity from sexual touching to rape.are you seriouly saying a person given 2 years for touching should be murdered?In a small town in england a few years agoa group of youths beat a young girl to death for simply being a goth, where was the cry for there execution, you need to engage your brain and not let emotion cloud your views, i do not belive in the death penalty for any crime but in your world people reciving realitively small sentances of say 3 years would be executed ,by your logic anyone should then be hanged simply on the length of sentance recived you can not have one law for sex offences and a different one for others.",dp
0.9015,"""Every system has its flaws.",dp
0.9009999999999999,But there are still innocents excuted.,dp
0.9,"This debate is not about slavery it is about the death penalty, stick with the subject.",dp
0.8986666667000001,"So, if you value the life of the foeutus the same as that of the mother, why is it ok to kill the foetus because of rape or incest?",dp
0.8982,"So it's wong when some civilian commits murder, but it's fine when an authority is doing the killing?",dp
0.8956,Getting rid of the death penalty would ultimately not be more cost effective.,dp
0.8945,"So far, I am hearing ""an eye for an eye"" which is just that vengeance centered sense of justice that I am arguing against.",dp
