id,argument,label,set,topic
0,"The interactions, guise of anonymity and lack of recourse bring out a dark and cruel side of people. One where people say some of their darkest thoughts that would typically be left unsaid",0.8,train,Social media brings more harm than good
1,"Fans are against doping in the vast majority of sports, so legalizing doping would drive away fans of the sport and ultimately hurt the game.",1.0,train,We should ban doping in sport
2,Information privacy rules are more important now than ever. Our personal data should only be used with our explicit consent for the purposes intended. We should be notified and compensated for any commercial usage.,0.8,train,We should support information privacy laws
3,Many casinos give a percentage of their revenue back to the community in which the reside in.,0.6,train,Gambling should not be banned
4,Social media makes people fat and lazy. They sit all day when they should be going out and actually interacting with people.,0.818181818,train,Social media brings more harm than good
5,Social media has just turned into another marketing channel. I avoid all the ads where possible.,0.5,train,Social media brings more harm than good
6,"The government job is to make laws that regulations people life, by doing it it can force people to take them and use her power for the good people life",0.461538462,train,Flu vaccination should be mandatory
7,"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude. Don't drive - save lives - let the computer do that for you",0.857142857,train,We should promote autonomous cars
8,Social Media enables people to give a false impression of themselves to their friends,0.636363636,train,Social media brings more harm than good
9,"There are a lot of violence in our society (movies, news) and our children are too expose to this kind of content. It's better to invest in integrative games to change the behavior of coming generations",0.5,train,We should ban the sale of violent video games to minors
10,Using focil fuels now creates high dependency on it and reduces the chances of finding the alternatives,0.5,train,We should ban fossil fuels
11,"Leading Social media platforms, as of today; have been identified for unethically selling one's digital footprint to third party organizations; without one's knowledge. This unregulated business model is harmful!",0.583333333,train,Social media brings more harm than good
12,"Gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy.",0.909090909,train,Gambling should be banned
13,"Large corporations that control the meat industry have poor working conditions and low wages, going vegetarian prevents us from supporting these behaviors.",0.444444444,train,We should adopt vegetarianism
14,"social media led to the rise of fake news, by allowing the highest bidder to flood your feed, regardless of fact checking",0.5555555560000001,train,Social media brings more harm than good
15,"The computer of the autonomous car is reliable, predictable, it doesn't get drunk, stressed, medicated or distracted. Computers don't ""have a bad day"".",0.583333333,train,We should promote autonomous cars
16,"Vegetarianism encourages healthier eating when you're going out, since meat dishes tend to be greasier and heavier than vegetarian ones.",0.583333333,train,We should adopt vegetarianism
17,"People actually feel joy and excitement when gambling, so you could think of it as a means of entertainment.",0.583333333,train,Gambling should not be banned
18,it will bring more jobs to the primary industry that will help the aconomy.,0.2,train,We should legalize doping in sport
19,Social Media opens the door to more recurrent online bullying because of an extra 24/7 constant social interaction with people whether one chooses or not,0.916666667,train,Social media brings more harm than good
20,"Privacy is an fundamental right of all humans. Privacy allow people to express their opinion with honest and combat totalitarianism. Therefore, we must protect it to protect our freedom.",0.75,train,We should support information privacy laws
21,"We should not adopt vegetarianism because most people would be forced to rely on soy for protein without meat, which has hormones in it that are detrimental if consumed in excess.",0.75,train,We should abandon vegetarianism
22,My information is mine. It does not belong to anyone else. I should control who has access to my information. My right to privacy should not be erased because it is in a digital format.,0.642857143,train,We should support information privacy laws
23,Social media often allows people to inflate their importance to celebrity status without any substance,0.444444444,train,Social media brings more harm than good
24,"With autonomous cars, people mobility will no longer be impacted by their emotional and physical issues",0.545454545,train,We should promote autonomous cars
25,"Fossil fuels are the cheapest and most common form of energy there is, so it is far more available to the poor who can't afford anything else",0.818181818,train,We should not ban fossil fuels
26,Casinos are generally touristic sites drawing more tourists into the country who spend money that strengthen the economy and state funds,0.636363636,train,Gambling should not be banned
27,"Yes, job loss is too overwhelming for trucking industry / mobility industry",0.363636364,train,We should limit autonomous cars
28,"Many a times, it has been the cause of so many conflicts, when people post some disturbing stuffs without any base.",0.6,train,Social media brings more harm than good
29,"Social media allowed me to know the great places that others have visited, their feedback and recommendation and so assisted in decision making.",0.75,train,Social media brings more good than harm
30,gambling should be band because it can cause a lot of hardship for people with addictive nature .,0.421052632,train,Gambling should be banned
31,Social networks help people discover ideas they wouldn't discover otherwise such as minority media,0.7777777779999999,train,Social media brings more good than harm
32,"If gambling become illegal, it usually get mixed with Drugs and other types of crime, which can cause more damage to the people who will gamble illegally",0.7,train,Gambling should not be banned
33,"Gambling is weighted toward the house winning, it is unfair and exploitative",0.846153846,train,Gambling should be banned
34,Social media entice people to paint a picture of themselves and their families which is often too good to be true because they want to keep up appearances.,0.25,train,Social media brings more harm than good
35,autonomous cars will reduce the number of car accidents,0.5,train,We should promote autonomous cars
36,"Social media enables human connection through digital means. Previously, we had to send letters and physically visit someone in order to see them. With social media, we're able to see what friends and family are doing.",0.8,train,Social media brings more good than harm
37,"Business women use Twitter chats to support each other, give and receive peer knowledge, and have guest ""speakers"" share expert knowledge.",0.583333333,train,Social media brings more good than harm
38,"Since flu strains mutate constantly and any given flu vaccine is just a scientist's guess of what will be the flu strain that year, the flu vaccine is very rarely effective.",0.647058824,train,Flu vaccination should not be mandatory
