id,argument,label,set,topic
0,"If I KNEW I would go painlessly, I wouldn't fear it as much, if at all.",0.7446666667,train,dp
1,"The ol' ""let's have more shootouts between the bad guys and good guys"" solution to crime and lots of unsubstantiated claims as usual.",0.598,train,gc
2,I didn't even need to change ONE WORD.,0.2135,train,gm
3,"But first, does evolution include the creation of the universe or only the adaptation and mutation etc of new species including man from ape or not necessarily man from ape but possibly?",0.7693333333,train,evo
4,"Not only free but your courts deemed that Tony Martin Made the ""environment hazardous to the burgular trade"" Tony Martin who has NEVER been charged with a crime is serving how many years?",0.213,train,gc
5,"But if you want to worry about difficulties, perhaps you should consider that they arise because you aren't talking about Darwin's theory, but Spencer's.",0.294,train,evo
6,"So you're hopeful that one day science will explain it, whereas before you seemed to say that you just believe in science.",0.384,train,evo
7,"So who is more likely to walk away, you or me?",0.61575,train,gc
8,"If creation was true, we would see 0 transitional forms and all forms appearing in the fossil record at the exact same time.",0.768,train,evo
9,So the DNA code ATG encodes methionine and uses the mRNA AUG to build the sequence in the ribosome.,0.5836666667,train,evo
10,Would it make you any better if she stabbed him with a butcher's knife for cheating on her?,0.4602,train,gc
11,So I think getting rid of the death penalty is a more humble position.,0.65725,train,dp
12,"First, if all forms of punishment are flawed, what is the most effective?",0.4645,train,dp
13,"So what is wrong with a total ammunition ban then, in addition to the gun ban as dogs could sniff out the ammunition being shipped in and the un shop records provide you witha lsit of gun owners.",0.7572,train,gc
14,There is a far higher rate of HIV in homosexuals men per capita than straights...where records are kept...in the West.,0.667,train,gm
15,So do you think it would be fair to allow a mother to have the death penalty instead of her murderer son?,0.54325,train,dp
16,"If two people want to unite with no intentions on having children, they should have civil unions, not marriage.",0.8565,train,gm
17,But science doesn't do that.,0.0596666667,train,evo
18,But why stop this 'conspiracy' theory now.,0.1046666667,train,evo
19,"Yes, lesbian sex is safter than heterosexual sex.",0.6045,train,gm
20,If you rape a kid then you shouldn't be allowed to live.,0.9026,train,dp
21,If he was anything less than it would have all been useless.,0.298,train,gm
22,"First of all, faith cannot be broken down into a simple form  such as reason or observable science.",0.2816666667,train,gm
23,"First of all, you are trying to impose your moral values on the rest of society.",0.6681666667,train,gm
24,"if that were to happen, the MAJORITY would be those NOT turning them in!",0.4778,train,gc
25,"So, back to my point, If two people are totally commited and happy with each other then I truly believe that they should be allowed to not just marry but to share pensions, be next of kins etc etc.",0.8415714286,train,gm
26,"But if I fancied boys instead of girls, I cannot imagine my lifestyle being any different.",0.6846666667,train,gm
27,"That's the equivalent of saying that dead people do not live, since a criminal is, by definition, someone who breaks a law.",0.5544,train,gc
28,"If anyone of them every shot and killed a person, boy it would be SOOOOO easy to trace it down.",0.35,train,gc
29,"If there is one thing history taught us, it is that you can never underestimate the number of fools.",0.30175,train,gc
30,"We start off from that point without any laws, in anarchy.",0.277,train,gm
31,So the second amendment doesn't apply to the states.,0.417,train,gc
32,"So, was Jesus in favor of the death penalty?",0.4335,train,dp
33,"I am not gay, or lesbian, I am indeed straight.",0.752,train,gm
34,Retail for a new AR-15 is about $1000.,0.317,train,gc
35,"If the courts are there to protect the innocent, than should it not take the greatest strides to protect them?",0.60175,train,dp
36,"If you are a homophobe and can't stand doing anything a gay can then yes, it will degrade the marriage for you if you relish in being able to do what they can't...otherwise in an actual physical way, nothing at all.",0.75875,train,gm
37,"If religion is real, science will be happy to have proven it so.",0.802,train,evo
38,"But what about the other 288,000 that were obtained illegally?",0.3506666667,train,gc
39,"if it is not evolution, then why do humans from high elevations have larger lungs?",0.86675,train,evo
40,"If I didn't realize you were serious I would say the same to you when you call killing innocents ""collateral damage"".",0.4955,train,dp
41,But they have that right.,0.3945,train,gm
42,"So what is one supposed to do if a criminal violently attacks a member of his family, just sit idly back and watch a soft judicial system set the criminal free after a short stay in prison, or get off on a technicality because the arresting officer didnt use proper punctuation in the report.",0.85625,train,dp
43,but we do know that the genome changes over time.,0.525,train,evo
44,"First, most of us DO care about what happens to gay people in other parts of the world.",0.403,train,gm
45,"What evolutionist do though is they drag the strings to meet each other, claiming that this is the way it must have been but without reason to say why they are expected to intersect besides 'if evolution is true this must be true'.",0.7573333333,train,evo
46,"If you are saying that all the different species I listed were on the ark, we can have a discussion about how many different species would fit on the ark.",0.7956666667,train,evo
47,"~ That's her church, and obviously the reason she's attempting to fold religion into government.",0.5271666667,train,gm
48,I don`t view my government like that at all.,0.085,train,gc
49,"First, I don't apologize for my opinions.",0.8320000000000001,train,gm
50,"Anyway, you are only addressing the first 2 sentences of my argument.",0.13975,train,gm
51,"If so, then, as it stands alone, how does abiogenesis fit into the notion of ""Observe...etc""?",0.2805,train,evo
52,But the right to own guns is not an issue about which I feel any passion.,0.5565,train,gc
53,The word marriage already applies to same sex couples.,0.7068571429,train,gm
54,So yeah it looks to me like left wing is against deficits and right wing is for deficits.,0.7044,train,gm
55,Can you explain that inconsistency?,0.1875,train,gm
56,So your theory that average citizens will defeat the terrorists is a hope.,0.509,train,gc
57,"If it did it couldn't legislate minimum age requirements to be married/have sex,and parental rights concerning their children getting married/having sex.",0.4268333333,train,gm
58,"But animals like Archaeopteryx had teeth (no beak), a long tail of free vertebrae, gastralia, fibula, three fingered claws, pre-orbital fenestra, free metacarpals, free metatarsals, and other characteristics of a theropod.",0.535,train,evo
59,"Society that accepts, makes excuses for the cruelty of parents who kill their children for convenience sake wonders why fathers abandon their children for convenience sake, leaving children to be raised as best a woman can, often leading to problem people.",0.66575,train,dp
60,First you say each and every case must be looked at on an individual basis.,0.2373333333,train,gc
61,"First off, because now he's lying about it and trying to supress the info that says otherwise.",0.2613333333,train,gc
62,"No, I don't.",0.2156666667,train,gm
63,claiming to be 'just like me' detracts from that argument.,0.0715,train,gm
64,Refuting creationism isn't a problem.,0.795,train,evo
65,"If this were being looked at from a religious standpoint, the Ten Commandments clearly state: ""Thou shalt not kill.""",0.7694,train,dp
66,so its justice,0.768,train,dp
67,But then again all homophobes like you ususally are.,0.3586,train,gm
68,That has nothing to do with evolution.,0.28475,train,evo
69,"First, Cornell put to rest the States Rights and Collective Rights theories and showed that the right to keep and bear arms is an individual right.",0.866,train,gc
70,"So you also recognize that your argument that same-sex marriage does not benefit society is also ""bassackwards""?",0.4903333333,train,gm
71,"This debate is not about slavery it is about the death penalty, stick with the subject.",0.9,train,dp
72,the way the left attacked the Tobacco Industry when they could not win with the law is by using frivolous and nonsense law suits to slowly make growing and selling tobacco not worth it.,0.5382,train,gc
73,"Some states like California that is true where the state provides huge resources and mandatory appeals, but other states are not like that, Pre-Ryan Illionis for example.",0.391,train,dp
74,So you are saying that sexual preference is entirely down to choice.,0.5758333333,train,gm
75,"But if you want to insult me, go ahead.",0.0,train,gm
76,But gays can't be forbidden from entering into a legal state of contract just because some church's dislike the thought of it.,0.8458571429,train,gm
77,"BUT how is it not.....I have a committed realtionship, and after 4 years ( longer than most heterosexual relationships) don't we deserve the same rights as you , even if.....you don't believe it is moral.",0.64425,train,gm
78,"First off, I would like to see a statistic for this 200,000 number, and if true, then I would like to see why that isn't more of a reason to stay armed so as to defend oneself from all of those newly armed criminals who now possess stolen weapons?",0.6122,train,gc
79,"Under the same old law that you quote the adulterous woman should have, by the law that God spoke, been put to death.",0.7155,train,dp
80,"First of all, you are talking about an organisation with no money, no military, and no power besides that which is handed it through a vote of the member nations.",0.5346,train,gc
81,"The work that is going on now about exactly how DNA triggers changes in organisms is very exciting and, like most scientific discoveries, surprising.",0.5486666667,train,evo
82,Gun ban = the removal of your rights.,0.6759999999999999,train,gc
83,But still I fail to comprehend the problem here.,0.147,train,gm
84,So Supreme Court doesn't have the final say.,0.4325,train,gm
85,"But people like you, Tim, are constantly pushing for more and more laws that will restrict our rights, while at the same time doing nothing to lock up the likes of gang bangers, cop killers and armed home invaders.",0.8816666667,train,gc
86,If you are so inclined we could examine each of your winos and scrutinize their gibberish.,0.22375,train,gc
87,so if evolution is so right.,0.13,train,evo
88,It's an emotional bond between two people who choose to share their lives together and who agree to define their relationship as such.,0.6573333333,train,gm
89,"The bible is very clear in its warning that ""those who live by the sword (a weapon) will die by the sword"".",0.6162857143,train,gc
90,"If you hang out on many EvC boards you see this come up all the time, and every time people carefully explain how the creationists are confused about what the second law means, and then it pops up again a little later.",0.4495,train,evo
91,Another mutation converts a gorgeous newborn into a cystic fibrosis patient or a victim of early onset diabetes.,0.34700000000000003,train,evo
92,I am concerned about my personal saftey.,0.5644,train,gc
93,"So under your reasoning we should allow prostitutuion, polygamy, cannibalism, and public nudity.",0.7272857143000001,train,gm
94,"Sorry, I don't understand how this addresses the point about justice being individual specific.",0.07200000000000001,train,dp
95,So now you have a airplane full of unarmed passengers at the mercy of armed terrorists.,0.5871666667000001,train,gc
96,"Sorry, but you seem to be missing the point of my argument.",0.524,train,gm
97,"First refuge of the inarticulate: ""If you don't like it, leave!""",0.58275,train,gc
98,But what you cannot do is charge him with obstructing justice for refusing to talkbecause that would be prosecuting him for refusing to give up a constitutional right.,0.44075,train,gc
99,"If a child gets that hormone, they develop an external sex organ or penis, if not then they develop an internal sex organ or a clitoris.",0.6916666667,train,gm
100,"First off, all you would have to say is that you shoot at the range on a regular basis, and bam...unlimited ammo.",0.35100000000000003,train,gc
101,"So, here's my proposition:LET'S DO BOTH!!!!!!!",0.192,train,gm
102,"So if I am unsatisfied with my heterosexual marriage, I can feel good about a divorce because if a traditionalist comes along and says divorce is wrong, I can say, ""That's an outdated value system.",0.7635,train,gm
103,"See, that's one of the flaws that I see in redefining marriage.",0.43975,train,gm
104,If the flood was contained to a single geographic area then it is entirely possible that Noah was able to build an ark large enough to contain all the animals within that area.,0.87425,train,evo
105,Science does its thing.,0.454,train,evo
106,"""You have heard it said, an eye for an eye, but I tell you RESIST THIS EVIL, and turn then the other cheek.""",0.6920000000000001,train,dp
107,So why do you trust your method to keep you alive if it is not 100% effective?,0.246,train,gc
108,"so you've already said, but specifically what part of the eye wouldn't be able to evolve from a simple form to the other?",0.5263333333,train,evo
109,So if you condier it all doctrine and dismiss it all then of course it is not evident.,0.233,train,gm
110,y a w n P.S. Are they paying you by the word now?,0.34700000000000003,train,gm
111,"It amazes me that some people want to turn the clock back to some Golden Age, but for one they can not identify this Golden Age.",0.44975,train,gm
112,It's totally disingenuous to pretend that marriage in modern society has nothing to do with love and companionship.,0.7778571429000001,train,gm
113,"first of all, it would mean that God set the universe into existence, allow it to naturally and spontaneously develop for billions of years, then step back in to intervene when humans attained a certain evolutionary level.",0.7555,train,evo
114,First they came to the conclusion that the marriage law written in 1909 (1911?),0.253,train,gm
115,"Yes, but they still cannot remove a right.",0.5338,train,gc
116,"USA Today (May 9, 2002) ""Since Australia's 1996 laws banning most guns and making it a crime to use a gun defensively, armed robberies rose by 51%, unarmed robberies by 37%, assaults by 24% and kidnappings by 43%.""",0.9084,train,gc
117,"If you mean creationists who beleive in genesis, then you are almost certainly wrong.",0.61125,train,evo
118,"so, as tword yes or no, i take a no postition, but only because of the consiquences.",0.3065,train,gm
119,"So if 2(1eye + 1eye) = X, then X would Equal 4 eyes, which would make both persons blind.",0.82,train,dp
120,"What are really saying is that it is not ok for the KKK, but it is ok for you?",0.2995714286,train,gm
121,So that wouldn't be proof it is not genetic.,0.3323333333,train,gm
122,Sarablaze~ I'm pro-death penalty.,0.568,train,dp
123,"So if a wheelchair bound woman is jumped and her attacker dies during the attempted mugging, do you want her wheeled before the court for trial as well?",0.6085,train,dp
124,First one to cite the Brady Campaign or Violence Policy Center in a debate concerning guns has lost.,0.307,train,gc
125,"But the people we execute have been found guilty in a court of law, and are given the opportunity of 8 (i think it is 8) appeals.",0.741,train,dp
126,You continue to ignore the fact that your cohort Matthew isn't the least bit ashamed to start sexually suggestive threads like this one http://www.4forums.com/political/sho...988#post298988 which is the premise for this thread.,0.5493333333,train,gm
127,"I know this is an old post,but Comrade P could care less since he is across the Big Water and is already screwed.emoticonXCry",0.065,train,gc
128,Amazing how you simply took out the parts of the verse that didn't support your arguement.,0.4106666667,train,dp
129,"So following from that, death row inmates on average appeal several times in 1 year while lifers appeal a few times in 50 or whatever.",0.6805,train,dp
130,"So we should not give gays their rights, because they might become millitant?",0.60775,train,gm
131,"First off, my condolences to the family and friends of these Officers who lost their lives to a POS.",0.446,train,gc
132,"If I were a Satanist, should I be able to sacrifice a virgin to my dark lord?",0.6638,train,gm
133,We are protected against unreasonable searches and seizures.,0.7166,train,gc
134,But they also have quite strict national gun control laws.,0.5718333333,train,gc
135,But I do get credit when the momentum is going that way.,0.166,train,gc
136,First of you don't know that someone committed a crime which is why our legal system is skewed so that it is more likely that people who are innocent will go free.,0.4755,train,dp
137,"if you said ""The fact that you and I cannot understand this doesn't make it impossible.""",0.081,train,gm
138,But the homosexuals did not focus on the APA alone; they intimidated psychiatrists all over the nation.,0.5642,train,gm
139,"If you invent a cartoon that isn't claimed by evolutionary theory and then prove it wrong, what have you accomplished.",0.72,train,evo
140,"so jesus, being both the ultimate animal sacrifice, and the sinless guilty criminal, solves the problem, but only for those who accept it and believe in it",0.662,train,dp
141,"But you have not given one shred of any link at all between gay marriage and an increase in the spread of HIV, yet you bring it up as an argument against gay marriage.",0.8504285714,train,gm
142,"In the current state of affairs, unmarried homosexual people can marry the same people that unmarried heterosexual people can and obtain the same benefits.",0.8002857143000001,train,gm
143,"If you didn't have a choice, what makes you think anyone else did?",0.5815,train,gm
144,Disagreement does not equal bigotry.,0.469,train,gm
145,"So it works and is deserving of support when it involves others, but when it is you, you find yourself above the system and not bound by the laws that the rest of us go by?",0.49875,train,dp
146,"If you're a radical Marxist, you believe that one day, everything will evolve into a better society...providing we realise class consciousness If you're a liberal, you believe that one day, everything will evolve into a better society...providing government allows business to sort itself out.",0.29475,train,evo
147,"First, bowling sucked.",0.3413333333,train,gc
148,"First of all, who says that another country won't aid the american rebels?",0.4985714286,train,gc
149,"If death eliminates sins, why couldn't the whole world's sins be put on a goat?",0.2665,train,dp
150,"First, creationism pre-dates Darwin, so its purpose is totally independent of evolution whatsoever.",0.8859999999999999,train,evo
151,"SO in turn, there is no clear evidence indicating that there is not a detterent value to the death penalty.",0.82825,train,dp
152,"First off, how many of these accidents were pilot error?",0.2,train,gc
153,So essentially what you are saying is that we can trust companies to not supply anything that would be overly dangerous?,0.508,train,gc
154,But the statistics don't support the idea that the death penalty is any more effective as a detterent than is a life sentence.,0.8712,train,dp
155,"I just want to highlight this part, Evolution does not talk about the origin of Life.",0.797,train,evo
156,"Firstly, prove 'beyond all hope of rehabilitation'.",0.44125,train,dp
157,So you think that someone who has claimed the life of someone else deserves the comfortable environment of a prison?,0.759,train,dp
158,"but sex and reproduction is not interchangable, although they can be, and the same with pleasure.",0.7141666667000001,train,gm
159,So you think Dawkins is no more qualified in biology than you or any random person off the street?,0.52125,train,evo
160,"First of all, no-one, gay or straight, has an inalienable right to adopt kids, only a right to be treated equally and appropriately.",0.7555,train,gm
161,"Often, they know that there is a laundry list of benefits and responsibilities that come with it.",0.3744,train,gm
162,But what would the acceptable rate of innocents killed be.,0.6296666667,train,dp
163,"Big, beautiful tails on peacocks are preferred by peahens, even though that tail has been observed to be non-advantageous.",0.4796666667,train,evo
164,"Walking-fish: I see 3 things that contribute to the rise of creationism: 1) lack of vigilence about separating church & state 2) lack of good public education (esp in the sciences) 3) extreme poverty where people turn to fanatical religion for a sense of hope In America our declining public education system, which some politicians want to privatize, and widening gap between rich & poor is making more & more people susceptible to the sophisms of very clever creationist pundits.",0.946,train,evo
165,But was the ark big enough to hold the number of animals required?,0.5005,train,evo
166,"So, if you (or anyone else) is game for a case by case examination feel fee to rebut my analysis of Cases v US and then read the next case, (a real doozy), but the genesis of the ""state's right"" theory in the federal courts, US v Tot.",0.63075,train,gc
167,"So if I say you can't bring a gun into my house, you leave it in the car, and while you are in there someone breaks in and shoots you, it is my responsibility?",0.6902,train,gc
168,So you would deny the gay agenda's link to radical left-wing ideology.,0.5136666667,train,gm
169,"If no one owned weapons, then the police would be virtually unneccesary except to stop crimes committed with fists alone.",0.8411666667000001,train,gc
170,"Sells et al (1995) reported 6.2% of males and 3.6% of females with ""sexual contact with someone of the same sex only or with both sexes in the previous five years,"" and 20.8% of U.S. males and 17.8% of U.S. females with some homosexual behavior or some homosexual attraction since age 15.",0.5479999999999999,train,gm
171,"If you have a water pipe break, you shut off the water until it is fixed.",0.1236666667,train,dp
172,"But if you believe that you will make progress in convincing a creationist that he doesn't have the right to define the words that biologists use, they you are a dreamer.",0.633,train,evo
173,"If Creationists were to take their religious forefathers more seriously than they ever do, they wouldn't rely so much on lunacy and lies to bolster their feeble case:",0.8266,train,evo
174,But it's gonna take more than a one liner to achieve that goal.,0.2,train,gc
175,but where are you going to find someone so heartless to do that to someone.,0.1093333333,train,dp
176,If you want more proof open your bible and read 2 pages of the Old Testament to find it.,0.1896666667,train,dp
177,"First of all, the unborn are not productive citizens.",0.451,train,gm
178,"It wouldn't offend anyone, because they agree with me.",0.248,train,gm
179,"Sorry, but I have trouble believing that, based on what I've seen here in these forums and elsewhere.",0.39525,train,gm
180,but atheism in this case is not a belief but the lack of it.,0.6393333333,train,evo
181,"If it was about evolution, I'd believe them!",0.2825,train,evo
182,So you admit that it is a right and it is being denied?,0.3768333333,train,gm
183,"But for all your boasting and anger and hyperbole, you haven't presented a single fact to back up your claims.",0.5475,train,gc
184,"There was no-one arrested, no one trampled by a mob, no one even shouted at on the curb.",0.23025,train,gm
185,But if you had read carefully the information that I provided you would realize: The people that already own weapons don't seem to be doing much to combat crime and are probably doing more to cause the problem than to solve it.,0.76075,train,gc
