id,argument,label,set
0,Social media if not used responsibly can create chaos in a society. This is dangerous than any World War that we have witnessed in the recent past.,0.727272727,train
1,Autonomous cars will give access to isolated people such as younger children or elderly people to be transported,0.7,train
2,"By only putting people together who have similar views and beliefs, social media creates echo chambers which limits the information that people can access.",0.875,train
3,"It's a relayble source of trade, it's got a fixed value as of late",0.571428571,train
4,"social medias makes it easy to meet people you would otherwise never have the opportunity to meet, it can bring you new possibilities in life just by connecting you with other people",0.7,train
5,"Gambling is very hard to regulate against and is very open to becoming a black market, banning it means that we lose a lot of taxes that go to help the poor and society at large",0.5555555560000001,train
6,"Any problems discovered in autonomous cars can be fixed over time, leading to improvements in our country's technology.",0.545454545,train
7,"Athletes serve as role models to many and allowing them to take drugs sends a message that drugs are good, useful, and legitimate tools, which is not the message we want to send their fans.",0.692307692,train
8,Gambling is a tool for people to launder money,0.6,train
9,The environmental impact of raising livestock and the drain on resources used to feed animals we raise for slaughter is a waste and endangers the future of our planet.,0.5555555560000001,train
10,People are responsible for their own actions and should be able to gamble if they feel like it.,0.363636364,train
11,Banning fossil fuels will accelerate the technological development of environment friendly fuels. This will give the blocking country a good chance to be one of the leaders in the new fuels market.,0.8,train
12,People rarely post about the negatives in their life. This leads others to believe their friends' life is all roses and gives a false sense of reality - makes people feel their lives are boring.,0.384615385,train
13,"The search for fossil fuels is the source of international conflict in Antarctica, a ban would stop this and the potential for escalation.",0.9,train
14,Businesses that compile (often without clear consent of users) and use personal and financial information should be held responsible for their failures to adequately protect such information and when using such information improperly.,0.5,train
15,"Driving is fun. Why would I have the computer do it for me? Also, have you ever seen the Terminator?",0.333333333,train
16,"The problem is forced participation without consent. I am not on Facebook, but since I appear is others' pictures, a company I have not subscribed to is collecting my data and using it to their benefit.",0.529411765,train
17,These games teach how do deal with conflict,0.333333333,train
18,"video is no other than many other forms of media that are extremely violent (news, TV, Movies, etc..), therefore there's no reason to single out these specific genre",0.454545455,train
19,"The tolerance for drugs can be different from person to person, and not all are related to body type & size; we would compromise the integrity of sporting events by adding irrelevant factors to winning.",0.75,train
20,Development of autonomous cars has the ability to inform driver assist features ahead of fully autonomous cars being ready.,0.444444444,train
21,"In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients.",0.857142857,train
22,"We should not ban fossil fuels because it would actually be more wasteful to stop using perfectly good infrastructure decades before it wears out, especially given the huge up front costs.",0.818181818,train
23,"No, Information should be shared freely without any censorship. Data can have restrictions on privacy. Information helped us to become a better world that we are today and restricting it would cause more harm than good",0.333333333,train
24,"They do more good than harm. The benefits of social media through interconnectivity, social empathy far outweigh the negative tendencies of some users",0.75,train
25,Part of being a human being is feeling connected. Social media helps keep us from becoming isolated as we age and our social contact wanes.,0.8,train
